symbol,company_name,exchange,sector,industry,currency,listing_date,created_at,updated_at
9602.SR,Yaqeen Capital Co.,NOMU,Financial Services,Asset Management,SAR,,2025-09-30 22:32:54.332860+03:00,2025-09-30 22:32:54.332860+03:00
9596.SR,Quara Finance Company,NOMU,Financial Services,Credit Services,SAR,,2025-09-30 22:32:58.539845+03:00,2025-09-30 22:32:58.539845+03:00
9635.SR,Dkhoun National Trading Co.,NOMU,Consumer Defensive,Household & Personal Products,SAR,,2025-09-30 22:33:02.795463+03:00,2025-09-30 22:33:02.795463+03:00
9579.SR,Intelligent Oud Co.,NOMU,Consumer Defensive,Household & Personal Products,SAR,,2025-09-30 22:33:07.114515+03:00,2025-09-30 22:33:07.114515+03:00
9517.SR,MOBI Industry Co.,NOMU,Basic Materials,Chemicals,SAR,,2025-09-30 22:33:11.357435+03:00,2025-09-30 22:33:11.357435+03:00
9514.SR,Mohammed Hasan AlNaqool Sons Co.,NOMU,Basic Materials,Building Materials,SAR,,2025-09-30 22:33:15.773000+03:00,2025-09-30 22:33:15.773000+03:00
9513.SR,Watani Iron Steel Company,NOMU,Basic Materials,Steel,SAR,,2025-09-30 22:33:20.094206+03:00,2025-09-30 22:33:20.094206+03:00
9523.SR,Group Five Pipe Saudi Company,NOMU,Basic Materials,Steel,SAR,,2025-09-30 22:33:24.509678+03:00,2025-09-30 22:33:24.509678+03:00
9548.SR,Arabian Plastic Industrial Company Limited,NOMU,Basic Materials,Specialty Chemicals,SAR,,2025-09-30 22:33:28.692096+03:00,2025-09-30 22:33:28.692096+03:00
9539.SR,Aqaseem Factory for Chemicals and Plastics Co.,NOMU,Energy,Oil & Gas Refining & Marketing,SAR,,2025-09-30 22:33:32.995463+03:00,2025-09-30 22:33:32.995463+03:00
9563.SR,BENA Steel Industries,NOMU,Basic Materials,Steel,SAR,,2025-09-30 22:33:37.458581+03:00,2025-09-30 22:33:37.458581+03:00
9565.SR,Meyar Company,NOMU,Basic Materials,Building Materials,SAR,,2025-09-30 22:33:41.857185+03:00,2025-09-30 22:33:41.857185+03:00
9553.SR,Molan Steel Company,NOMU,Basic Materials,Steel,SAR,,2025-09-30 22:33:46.100255+03:00,2025-09-30 22:33:46.100255+03:00
9566.SR,Saudi Lime Industries Company,NOMU,Basic Materials,Building Materials,SAR,,2025-09-30 22:33:50.399731+03:00,2025-09-30 22:33:50.399731+03:00
9588.SR,Riyadh Steel Co.,NOMU,,,SAR,,2025-09-30 22:33:54.648529+03:00,2025-09-30 22:33:54.648529+03:00
9576.SR,Paper Home Company,NOMU,Consumer Cyclical,Packaging & Containers,SAR,,2025-09-30 22:33:58.863551+03:00,2025-09-30 22:33:58.863551+03:00
9580.SR,"Al Rashid Industrial Co.,",NOMU,Consumer Cyclical,Packaging & Containers,SAR,,2025-09-30 22:34:03.191897+03:00,2025-09-30 22:34:03.191897+03:00
9575.SR,Marble Design Factory Company,NOMU,Basic Materials,Building Materials,SAR,,2025-09-30 22:34:07.535773+03:00,2025-09-30 22:34:07.535773+03:00
9552.SR,Saudi Top for Trading Company,NOMU,Basic Materials,Specialty Chemicals,SAR,,2025-09-30 22:34:11.832448+03:00,2025-09-30 22:34:11.832448+03:00
9623.SR,Al Battal Factory for Chemical Industries Company,NOMU,Basic Materials,Specialty Chemicals,SAR,,2025-09-30 22:34:16.054812+03:00,2025-09-30 22:34:16.054812+03:00
9631.SR,Hedab Alkhaleej Trading Co.,NOMU,,,SAR,,2025-09-30 22:34:20.287083+03:00,2025-09-30 22:34:20.287083+03:00
9607.SR,ASG Plastic Factory Co.,NOMU,Basic Materials,Specialty Chemicals,SAR,,2025-09-30 22:34:24.502685+03:00,2025-09-30 22:34:24.502685+03:00
9605.SR,Neft Alsharq Company for Chemic,NOMU,Basic Materials,Specialty Chemicals,SAR,,2025-09-30 22:34:28.732272+03:00,2025-09-30 22:34:28.732272+03:00
9601.SR,Mohammed Hadi Al-Rasheed Company,NOMU,Basic Materials,Other Industrial Metals & Mining,SAR,,2025-09-30 22:34:33.047318+03:00,2025-09-30 22:34:33.047318+03:00
9599.SR,Taqat Mineral Trading Co.,NOMU,Industrials,Metal Fabrication,SAR,,2025-09-30 22:34:37.276310+03:00,2025-09-30 22:34:37.276310+03:00
9609.SR,Nass Petrol Factory Company,NOMU,Energy,Oil & Gas E&P,SAR,,2025-09-30 22:34:41.694870+03:00,2025-09-30 22:34:41.694870+03:00
9611.SR,Arabian United Float Glass Company,NOMU,Basic Materials,Building Materials,SAR,,2025-09-30 22:34:46.004379+03:00,2025-09-30 22:34:46.004379+03:00
